case:sel2	"'y'"
case:machine-step-nocol	"('COMP', ('ALPHA', ('COND', ('COMP', 'and', ('CONS', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 2, 2), 1)), ('COMP', 1, 2))), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('CONS', ('COMP', 1, 1), ('COMP', 3, 2)))), ('COMP', 'not', 'null', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1)))))), ('COND', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONST', '#'))), ('CONST', 'T'), ('COND', ('COMP', 'atom', ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))), ('CONST', 'F'), ('COMP', 'theta:member', ('CONS', ('COMP', 1, 1), ('COMP', ('ALPHA', 1), ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))))))), ('CONS', ('COMP', 1, 1), ('COMP', 2, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1)))))), 1), 1)), 'distr', ('CONS', 1, ('CONS', 2, ('COMP', ('ALPHA', ('CONS', ('COMP', 2, 1), ('COMP', 4, 1), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1))))), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1))))))), 'distr', ('CONS', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', 3, ('CONST', 'F1'))), 1), 'apndl', 2)), 'theta:append_phi'), ('COMP', ('COMP', 'theta:natjoin1', ('CONS', ('COMP', 'theta:natjoin1', ('CONS', 1, 2)), 3)), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smFrom'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTrigger'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTo'))), 3))))), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smGuard'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smEmit'))), 3))))), ('COMP', 3, 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', 2, 1), ('CONST', 'F1'))), ('COMP', 'theta:member', ('CONS', ('COMP', 4, 1), 2)))), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'role'))), 3)), ('COMP', 'cat', ('CONS', ('COMP', ('ALPHA', 2), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smDef'))), 3))), ('COMP', ('ALPHA', 1), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'governedBy'))), 3)))))))), 3)))"
case:machine-step-col	"('COMP', ('ALPHA', ('COND', ('COMP', 'and', ('CONS', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), ('COND', ('COMP', 'eq', ('CONS', ('COMP', 3, 2), ('CONST', 1))), ('COMP', 1, ('COMP', 1, 2)), ('COMP', 2, ('COMP', 1, 2))))), ('COMP', 'not', 'eq', ('CONS', ('COMP', 2, ('COMP', 1, 2)), ('CONST', '#'))))), ('COMP', 'not', 'null', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1)))))), ('COND', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONST', '#'))), ('CONST', 'T'), ('COND', ('COMP', 'atom', ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))), ('CONST', 'F'), ('COMP', 'theta:member', ('CONS', ('COMP', 1, 1), ('COMP', ('ALPHA', 1), ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))))))), ('CONS', ('COMP', 1, 1), ('COMP', 2, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1)))))), 1), 1)), 'distr', ('CONS', 1, ('CONS', 2, ('COMP', ('ALPHA', ('CONS', ('COMP', 2, 1), ('COMP', 4, 1), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1))))), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1))))))), 'distr', ('CONS', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', 3, ('CONST', 'F1'))), 1), 'apndl', 2)), 'theta:append_phi'), ('COMP', ('COMP', 'theta:natjoin1', ('CONS', ('COMP', 'theta:natjoin1', ('CONS', 1, 2)), 3)), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smFrom'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTrigger'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTo'))), 3))))), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smGuard'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smEmit'))), 3))))), ('COMP', 3, 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', 2, 1), ('CONST', 'F1'))), ('COMP', 'theta:member', ('CONS', ('COMP', 4, 1), 2)))), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'role'))), 3)), ('COMP', 'cat', ('CONS', ('COMP', ('ALPHA', 2), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smDef'))), 3))), ('COMP', ('ALPHA', 1), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'governedBy'))), 3)))))))), 3)))"
case:mealy-step-nocol	"('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'atom'), 1), 'apndl', 2)), 'theta:append_phi'), ('ALPHA', ('COND', ('COMP', 'and', ('CONS', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 2, 2), 1)), ('COMP', 1, 2))), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('CONS', ('COMP', 1, 1), ('COMP', 3, 2)))), ('COMP', 'not', 'null', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1)))))), ('COND', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONST', '#'))), ('CONST', 'T'), ('COND', ('COMP', 'atom', ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))), ('CONST', 'F'), ('COMP', 'theta:member', ('CONS', ('COMP', 1, 1), ('COMP', ('ALPHA', 1), ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))))))), ('COND', ('COMP', 'not', 'eq', ('CONS', ('COMP', 4, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONST', '#'))), ('COND', ('COMP', 'not', 'atom', ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 4, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))), ('CONS', ('COMP', 1, 1), ('COMP', 'apply', ('CONS', ('COMP', 4, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONS', ('COMP', 1, 1), ('COMP', 2, 1), ('COMP', 2, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))))))), ('CONST', '#')), ('CONST', '#')), ('CONST', '#')), ('CONST', '#'))), 'distr', ('CONS', 1, ('CONS', 2, ('COMP', ('ALPHA', ('CONS', ('COMP', 2, 1), ('COMP', 4, 1), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1))))), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1))))))), 'distr', ('CONS', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', 3, ('CONST', 'F1'))), 1), 'apndl', 2)), 'theta:append_phi'), ('COMP', ('COMP', 'theta:natjoin1', ('CONS', ('COMP', 'theta:natjoin1', ('CONS', 1, 2)), 3)), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smFrom'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTrigger'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTo'))), 3))))), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smGuard'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smEmit'))), 3))))), ('COMP', 3, 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', 2, 1), ('CONST', 'F1'))), ('COMP', 'theta:member', ('CONS', ('COMP', 4, 1), 2)))), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'role'))), 3)), ('COMP', 'cat', ('CONS', ('COMP', ('ALPHA', 2), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smDef'))), 3))), ('COMP', ('ALPHA', 1), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'governedBy'))), 3)))))))), 3)))"
case:mealy-step-col	"('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'atom'), 1), 'apndl', 2)), 'theta:append_phi'), ('ALPHA', ('COND', ('COMP', 'and', ('CONS', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), ('COND', ('COMP', 'eq', ('CONS', ('COMP', 3, 2), ('CONST', 1))), ('COMP', 1, ('COMP', 1, 2)), ('COMP', 2, ('COMP', 1, 2))))), ('COMP', 'not', 'eq', ('CONS', ('COMP', 2, ('COMP', 1, 2)), ('CONST', '#'))))), ('COMP', 'not', 'null', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1)))))), ('COND', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONST', '#'))), ('CONST', 'T'), ('COND', ('COMP', 'atom', ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))), ('CONST', 'F'), ('COMP', 'theta:member', ('CONS', ('COMP', 1, 1), ('COMP', ('ALPHA', 1), ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 3, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))))))), ('COND', ('COMP', 'not', 'eq', ('CONS', ('COMP', 4, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONST', '#'))), ('COND', ('COMP', 'not', 'atom', ('COMP', 'ast:DynFetch', ('CONS', ('COMP', 4, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('COMP', 4, 2)))), ('CONS', ('COMP', 1, 1), ('COMP', 'apply', ('CONS', ('COMP', 4, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))), ('CONS', ('COMP', 1, 1), ('COMP', 2, 1), ('COMP', 2, ('COMP', 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 2, 1))))))))), ('CONST', '#')), ('CONST', '#')), ('CONST', '#')), ('CONST', '#'))), 'distr', ('CONS', 1, ('CONS', 2, ('COMP', ('ALPHA', ('CONS', ('COMP', 2, 1), ('COMP', 4, 1), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 1, 2), ('COMP', 1, 1))))), ('COND', ('COMP', 'null', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1)))), ('CONST', '#'), ('COMP', 2, 1, 1, ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', ('COMP', 1, 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 2, 2), ('COMP', 1, 1))))))), 'distr', ('CONS', ('COMP', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'eq', ('CONS', 3, ('CONST', 'F1'))), 1), 'apndl', 2)), 'theta:append_phi'), ('COMP', ('COMP', 'theta:natjoin1', ('CONS', ('COMP', 'theta:natjoin1', ('CONS', 1, 2)), 3)), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smFrom'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTrigger'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smTo'))), 3))))), ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smGuard'))), 3)), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smEmit'))), 3))))), ('COMP', 3, 1, ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', 2, 1), ('CONST', 'F1'))), ('COMP', 'theta:member', ('CONS', ('COMP', 4, 1), 2)))), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'role'))), 3)), ('COMP', 'cat', ('CONS', ('COMP', ('ALPHA', 2), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'smDef'))), 3))), ('COMP', ('ALPHA', 1), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'governedBy'))), 3)))))))), 3)))"
case:sm-rows-smdef	"(('smDef', ('OrderSM', 'Order')), ('State_Machine_Definition_is_for_Noun', ('OrderSM', 'Order')))"
case:sm-rows-emits-mealy	"(('smEmit', ('t1', 'E1')))"
case:sm-rows-emits-moore	"(('smMoore', ('s1', 'E1')))"
case:sm-rows-unknown	"()"
case:table-columns	"('F1', 'F2')"
case:table-columns-other	"()"
case:registered-boundary	"(('implode', 'separator-and-words', 'text', 'registered'), ('escape_html', 'text', 'html-text', 'registered'), ('slug', 'text', 'identifier', 'registered'), ('lex', 'text', 'token-records', 'registered'), ('strip_prefix', 'prefix-and-text', 'text', 'registered'))"
case:verbalize-role1	"(('{0} is paid by {1}', ('o1', 'c1')))"
case:verbalize-role2	"(('{0} is paid by {1}', ('o1', 'c1')))"
case:verbalize-absent	"()"
case:links-of-active	"(('o1', 'In Cart'), ('o1', 'In Cart'), ('In Cart', 'pay', 'Paid'))"
case:links-of-terminal	"(('o1', 'Shipped'))"
case:polarity-subset	"(('a'))"
case:polarity-exclusion	"(('b', 'P'), ('b', 'Q'))"
case:agg-rule-sum	"(('g1', 5), ('g2', 5))"
case:agg-rule-count	"(('g1', 2), ('g2', 1))"
case:agg-rule-max	"(('g1', 3), ('g2', 5))"
case:validate-of-alethic-default	"((('a'), ('b')), (('x')), 'T')"
case:validate-of-alethic-empty	"((('a'), ('b')), (('x')), 'F')"
case:validate-of-clean	"((('a'), ('b')), (), 'F')"
case:sm-join-two	"(('In Cart', 'E1', 'Paid'), ('Paid', 'E2', 'Shipped'))"
case:sm-join-partial	"(('In Cart', 'E1', 'Paid'))"
case:sm-join-notrig	"()"
case:inclusive-or-spec	"(('c'))"
case:exclusive-or-spec-mixed	"(('c'), ('b'))"
case:exclusive-or-spec-clean	"()"
case:exclusion-spec-violates	"(('b', 'P'), ('b', 'Q'))"
case:exclusion-spec-clean	"()"
case:class-rule-match	"(('t1', 'H'), ('t3', 'H'))"
case:class-rule-none	"()"
case:class-rule-dedup	"(('t1', 'H'))"
case:join-rule2-match	"(('a'))"
case:join-rule2-nomatch	"()"
case:join-rule2-two-hits	"(('a'), ('b'))"
case:ask-pos-size	"2"
case:ask-pos-order	"1"
case:ask-pos-missing	"'#'"
case:ask-filter-match	"(('o1', 'big'), ('o3', 'big'))"
case:ask-filter-none	"()"
case:ask-filter-hash	"()"
case:nav-of-head-o1	"(('o1', 'a'), ('o1', 'c'))"
